model_name,accuracy_score,f1_score,auc_score,specificity_score,sensitivity_score,n_features
lr,0.816935,0.765901451,0.871279556,0.849808703,0.71542738,10
rf,0.82638,0.777533692,0.89419095,0.857169334,0.731308507,10
lgb,0.827505,0.779077294,0.896212688,0.85765916,0.7343948,10
xgb,0.825605,0.778476565,0.895899001,0.851801104,0.744716511,10
mlp,0.824385,0.775280632,0.89220395,0.855104121,0.729530311,10
lr,0.82539,0.765790842,0.881572087,0.880257357,0.655970241,20
rf,0.82896,0.781041839,0.898518658,0.858367423,0.738155582,20
lgb,0.833095,0.785013591,0.90344049,0.864483631,0.736172996,20
xgb,0.83391,0.785562067,0.903454627,0.866290692,0.733924703,20
mlp,0.835625,0.781719745,0.901222728,0.882064419,0.692229081,20
lr,0.824685,0.766642868,0.882331279,0.876001165,0.666230634,30
rf,0.82768,0.781272392,0.898771961,0.852760899,0.750235049,30
lgb,0.83572,0.786519819,0.904804774,0.870957279,0.726914115,30
xgb,0.832995,0.786407932,0.905010507,0.860518686,0.748007195,30
mlp,0.83083,0.782767831,0.901424973,0.86129976,0.736745289,30
lr,0.826185,0.766798803,0.882483491,0.880906046,0.657217022,40
rf,0.82784,0.780532476,0.897858188,0.855289461,0.743081388,40
lgb,0.83553,0.786491172,0.904865236,0.870288733,0.728201774,40
xgb,0.834975,0.78716521,0.905227569,0.866416458,0.737889875,40
mlp,0.832545,0.782164073,0.900722796,0.869414989,0.718697625,40
lr,0.822585,0.76731707,0.882100681,0.867091624,0.685157176,50
rf,0.827055,0.779187567,0.896820568,0.855640282,0.738789192,50
lgb,0.83406,0.786325551,0.904926647,0.86494698,0.738686997,50
xgb,0.83619,0.786832349,0.905316189,0.872009744,0.725585578,50
mlp,0.831755,0.782943324,0.900810842,0.864457153,0.730777092,50
lr,0.82134,0.766070985,0.88206815,0.865410329,0.685259371,all
rf,0.820295,0.767212419,0.890829592,0.859062446,0.700588644,all
lgb,0.83563,0.786650187,0.905045403,0.870282113,0.728630994,all
xgb,0.83664,0.787484457,0.905263997,0.872142129,0.72701631,all
mlp,0.83191,0.782918645,0.900963314,0.865119081,0.729366799,all
