method,no-handle,,,,,,,class_weight,,,,,smote,,,,,,,under_sampling,,,,,,
model_name,log_reg,rf,lgb,xgb,mlp,blend,stack,log_reg,rf,lgb,xgb,mlp,log_reg,rf,lgb,xgb,mlp,blend,stack,log_reg,rf,lgb,xgb,mlp,blend,stack
accuracy_score,0.82134,0.820295,0.83563,0.83664,0.83191,0.82144,0.829935,0.82606,0.820115,0.835305,0.83632,,0.82257,0.819285,0.833715,0.834185,0.82934,0.817555,0.82881,0.823995,0.822665,0.834845,0.83614,0.83601,0.82601,0.83393
f1_score,0.766070985,0.767212419,0.786650187,0.787484457,0.782918645,0.772846175,0.782098015,0.7683608,0.765985568,0.786795902,0.787336655,,0.767905838,0.765087945,0.784007284,0.785215977,0.77377171,0.769319638,0.77874941,0.768256925,0.766191366,0.786432301,0.787044347,0.781410772,0.771717062,0.779841786
auc_score,0.88206815,0.890829592,0.905045403,0.905263997,0.900963314,0.889542962,0.899974469,0.882136205,0.889325468,0.904845451,0.905243901,,0.881969868,0.888995254,0.902230698,0.902856232,0.896205173,0.892057793,0.898496656,0.882216499,0.890303355,0.904812592,0.904852488,0.900954255,0.890941137,0.899026803
specificity_score,0.865410329,0.859062446,0.870282113,0.872142129,0.865119081,0.849888134,0.859499318,0.877152918,0.861207091,0.868647153,0.871261766,,0.865721435,0.860247296,0.86940175,0.868230139,0.877020533,0.843844738,0.863470882,0.870050439,0.86985848,0.867760171,0.871288243,0.884195825,0.869567232,0.880091876
sensitivity_score,0.685259371,0.700588644,0.728630994,0.72701631,0.729366799,0.733597678,0.738646119,0.668294976,0.693230593,0.732350897,0.728426603,,0.689326738,0.692801374,0.723521236,0.729060213,0.682111761,0.736377386,0.721783919,0.681784736,0.676940686,0.733209337,0.727609042,0.687221518,0.691513715,0.69139108
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
method,no-handle,,,,,,,class_weight,,,,,smote,,,,,,,under_sampling,,,,,,
model_name,lr,rf,lgb,xgb,mlp,blend,stack,lr,rf,lgb,xgb,mlp,lr,rf,lgb,xgb,mlp,blend,stack,lr,rf,lgb,xgb,mlp,blend,stack
accuracy_score,0.821,0.82,0.836,0.837,0.832,0.821,0.83,0.826,0.82,0.835,0.836,,0.823,0.819,0.834,0.834,0.829,0.818,0.829,0.824,0.823,0.835,0.836,0.836,0.826,0.834
f1_score,0.766,0.767,0.787,0.787,0.783,0.773,0.782,0.768,0.766,0.787,0.787,,0.768,0.765,0.784,0.785,0.774,0.769,0.779,0.768,0.766,0.786,0.787,0.781,0.772,0.78
auc_score,0.882,0.891,0.905,0.905,0.901,0.89,0.9,0.882,0.889,0.905,0.905,,0.882,0.889,0.902,0.903,0.896,0.892,0.898,0.882,0.89,0.905,0.905,0.901,0.891,0.899
specificity_score,0.865,0.859,0.87,0.872,0.865,0.85,0.859,0.877,0.861,0.869,0.871,,0.866,0.86,0.869,0.868,0.877,0.844,0.863,0.87,0.87,0.868,0.871,0.884,0.87,0.88
sensitivity_score,0.685,0.701,0.729,0.727,0.729,0.734,0.739,0.668,0.693,0.732,0.728,,0.689,0.693,0.724,0.729,0.682,0.736,0.722,0.682,0.677,0.733,0.728,0.687,0.692,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,stack,Xgboost,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
