model_name,method,accuracy_score,f1_score,auc_score,specificity_score,sensitivity_score
lr,no handle,0.823535,0.764204768,0.878729817,0.877152918,0.657973266
rf,no handle,0.832955,0.782271757,0.899680576,0.870718985,0.716347136
lgb,no handle,0.83337,0.783379501,0.901481926,0.869613567,0.721456894
xgb,no handle,0.8324,0.7837609,0.901586913,0.864920503,0.731982995
mlp,no handle,0.83311,0.780509146,0.898510998,0.8754981,0.702223767
blend,no handle,0.832705,0.782260464,0.900169333,0.869792287,0.718186649
stack,no handle,0.83026,0.783443023,0.901558282,0.857341435,0.74663778
lr,class weight,0.828375,0.765943749,0.878950632,0.890186266,0.637513796
rf,class weight,0.830845,0.781587453,0.899726473,0.86430491,0.727527286
lgb,class weight,0.833755,0.782714632,0.901284907,0.872698148,0.713506111
xgb,class weight,0.833635,0.783573889,0.901421983,0.870156347,0.720864162
mlp,class weight,0,0,0,0,0
lr,smote,0.82443,0.766660848,0.878781402,0.875067848,0.668070147
rf,smote,0.827115,0.778188817,0.896717097,0.858367423,0.73061358
lgb,smote,0.831805,0.782938756,0.900565267,0.864662351,0.730347872
xgb,smote,0.83125,0.78207163,0.899887747,0.86466897,0.728058701
mlp,smote,0.825455,0.77248473,0.892079107,0.865781008,0.700936108
blend,smote,0.830165,0.780504697,0.898723096,0.864357864,0.724584066
stack,smote,0.82786,0.781572362,0.900633927,0.852694706,0.751175244
lr,under sampling,0.824245,0.766589295,0.878956653,0.874571402,0.66884683
rf,under sampling,0.83228,0.781785211,0.899697385,0.869322319,0.717900503
lgb,under sampling,0.831805,0.78251456,0.901112724,0.865714815,0.727098066
xgb,under sampling,0.83285,0.783391565,0.901275853,0.86758145,0.725606017
mlp,under sampling,0.832575,0.779531299,0.898271113,0.875782729,0.699157912
blend,under sampling,0.832055,0.781559444,0.899804854,0.869011213,0.717941381
stack,under sampling,0.830325,0.783197551,0.901322201,0.858228418,0.744164657
