model_name,accuracy_score,f1_score,auc_score,specificity_score,sensitivity_score,n_features
log_reg,0.82143,0.763763434,0.878838684,0.87076532,0.669092098,10
randomforest,0.83139,0.780191826,0.897536501,0.869779049,0.712852062,10
lightgbm,0.830575,0.781241513,0.899517444,0.864119571,0.726995871,10
xgboost,0.830775,0.781171936,0.89943424,0.865059507,0.72491109,10
mlp,0.828255,0.777924214,0.896525971,0.863364973,0.719842211,10
log_reg,0.82408,0.763896255,0.879435412,0.879674861,0.652413849,20
randomforest,0.82778,0.779591957,0.896401714,0.857434105,0.736213874,20
lightgbm,0.83279,0.782565735,0.900183612,0.869375273,0.719821772,20
xgboost,0.83152,0.782166152,0.900118056,0.865476521,0.726668847,20
mlp,0.826385,0.778189636,0.896955267,0.855554232,0.736316069,20
log_reg,0.821125,0.763073178,0.879034024,0.871175715,0.666578098,30
randomforest,0.825135,0.777650053,0.894998943,0.852072494,0.741957242,30
lightgbm,0.83285,0.782706211,0.900272363,0.869262745,0.720414504,30
xgboost,0.83022,0.782615776,0.900519647,0.85930074,0.740424314,30
mlp,0.82284,0.776884795,0.896754136,0.845069304,0.754200221,30
log_reg,0.82171,0.763039598,0.878179405,0.873280644,0.662469852,40
randomforest,0.82281,0.77660928,0.894237642,0.845665038,0.752238074,40
lightgbm,0.83099,0.782136191,0.900495141,0.863503978,0.730593141,40
xgboost,0.83161,0.782664477,0.900899662,0.864589539,0.729775579,40
mlp,0.825605,0.777771417,0.895911851,0.853588308,0.739197972,40
log_reg,0.825115,0.764974492,0.878411467,0.881005335,0.652536484,50
randomforest,0.824105,0.775613003,0.893649137,0.853211009,0.734231288,50
lightgbm,0.831355,0.782650472,0.900551378,0.863636364,0.731676409,50
xgboost,0.832345,0.783407322,0.900939582,0.865589049,0.729693823,50
mlp,0.82454,0.777273734,0.896408201,0.850715543,0.743714998,50
log_reg,0.821625,0.763630029,0.878655588,0.871731734,0.666905122,60
randomforest,0.82007,0.771455161,0.891016275,0.848114169,0.733475044,60
lightgbm,0.83267,0.782428726,0.900534724,0.869249507,0.719719577,60
xgboost,0.832465,0.783599553,0.901068936,0.865575811,0.730225238,60
mlp,0.828475,0.778200493,0.896719601,0.863530455,0.720230552,60
log_reg,0.822205,0.763742793,0.87876152,0.873512318,0.66377795,100
randomforest,0.819345,0.7698461,0.890186648,0.849318877,0.726791481,100
lightgbm,0.83111,0.782521656,0.900588731,0.863007533,0.732616605,100
xgboost,0.83253,0.78383865,0.901199933,0.865231608,0.731553775,100
mlp,0.8297,0.778735535,0.896811229,0.866879807,0.714895965,100
log_reg,0.822345,0.763644221,0.878687914,0.874207342,0.662204145,all
randomforest,0.817675,0.764139111,0.887283573,0.856600077,0.697481911,all
lightgbm,0.83301,0.782840958,0.900573951,0.869547374,0.720189674,all
xgboost,0.8323,0.783515252,0.901102642,0.865145558,0.730879287,all
mlp,0.827505,0.779278308,0.897400939,0.857156096,0.735948167,all
