features,score_0,score_1,score_2,score_3,score_4,score
active_day,0.1592960627625818,0.15574046196626976,0.16642387695725872,0.16960721659665629,0.16328450659718982,0.1628704249759913
not_active_day,0.14679408981143946,0.13983194369720808,0.13855486745582252,0.14198100909757574,0.1421182550267259,0.14185603301775435
age_group_unknown,0.09549295204485202,0.09981123402566282,0.10018364765563431,0.09879245694069502,0.09581051787125679,0.0980181617076202
gender_unknown,0.08707082450389962,0.0870443847387626,0.0884888860563447,0.08655812429947017,0.08666672090078507,0.08716578809985244
signin_count,0.06156892256353544,0.06323278740159222,0.0612718328144577,0.05795691194006026,0.06206923684666095,0.061219938313261314
newtab_count,0.05889295193964759,0.05634598206557372,0.05920921858535113,0.058653828629529704,0.05851591268230392,0.05832357878048121
ads_impression,0.057902933617061295,0.0611075112743801,0.056851756295981215,0.05509586532248749,0.05853412782306983,0.05789843886659598
clicks,0.04872496416093802,0.04888296600874974,0.047296059562189956,0.045756408636365424,0.05195768997312088,0.0485236176682728
life_time,0.04328649744073777,0.04606294878713143,0.0432263506898815,0.04414967667692452,0.04360356876232515,0.04406580847140008
ads_revenue,0.03999348057747784,0.0397687743506855,0.03952692029445894,0.0403108529550056,0.039232716844764,0.039766549004478374
total_active_time,0.036857419748578375,0.03742750705402656,0.036229641359925055,0.03570559841408486,0.0344967465181317,0.03614338261894931
work_count,0.0262337372342817,0.02541795363462645,0.026672429090688052,0.026195408675310682,0.02610005310457701,0.02612391634789678
search_volume_gg,0.017126879287502516,0.018154235571180823,0.01717400483741872,0.017128521607127318,0.017236215806594173,0.01736397142196471
search_volume,0.01297019339988627,0.012899808866822392,0.0138288633997585,0.013236950305384507,0.013999685981093368,0.013387100390589008
news_count,0.013212328176308297,0.013194904578043743,0.013235688511533106,0.012785052816203237,0.012725425546923812,0.013030679925802438
gender_female,0.011953132879663408,0.013336123592474143,0.012862209966066707,0.013623844600908855,0.012475758117497857,0.012850213831322194
serp_click,0.010616599060396146,0.010474660608860672,0.010879826260204815,0.010913674483759263,0.011724686035781317,0.010921889289800443
search_clicks_gg,0.009996646896010252,0.009444486602963887,0.00888657050610013,0.009294132605813089,0.009697724273308382,0.009463912176839149
youtube_count,0.009894728550235815,0.009042669364053844,0.008882954183330424,0.009513647688365885,0.00938939339880023,0.00934467863695724
other_search_gg,0.007715668631739154,0.008972623660794389,0.008214076932328972,0.007543416383789478,0.008114851668099178,0.008112127455350235
social_count,0.00561687623764468,0.005437293339947885,0.005022911311029329,0.004935975697644561,0.005202240091239809,0.005243059335501252
other_search,0.0050952065072628295,0.005585564881066975,0.004670245274760117,0.005107429012459571,0.0052600017223815,0.005143689479586199
gender_male,0.004388957756596617,0.005128462262943509,0.004612349735659399,0.005887599034429581,0.004861147022283945,0.0049757031623826106
age_group_25-34,0.004858451267333378,0.004416935541113407,0.004283533140610072,0.004329820723998185,0.004317011974098318,0.0044411505294306725
ecommerce_count,0.004209959630375654,0.004127819074713703,0.004285214480547484,0.004770950992720691,0.004159698573598632,0.004310728550391232
technical_search_gg,0.0032865753013812398,0.0024220041605355104,0.002448219270578829,0.0033727534002311902,0.002520203816177472,0.002809951189780848
housekeeping_family_search,0.0018967345023575017,0.001947222823928773,0.0019281812603745335,0.0020041342852146963,0.001978921300720912,0.0019510388345192833
age_group_18-24,0.0018990041092526817,0.001968428781687085,0.0019136591824134624,0.001984294669690278,0.001870479397845004,0.0019271732281777021
housekeeping_family_search_gg,0.001668347390450281,0.0015857189301201593,0.0015976100497713012,0.0018605528228202183,0.0017195025968693904,0.00168634635800627
videoclip_search_gg,0.0017327301683630403,0.0016956999968934805,0.0016872064106416365,0.0015209635294683947,0.0016759806526895358,0.0016625161516112172
entertainment_count,0.0009512198808659419,0.0010659840239020835,0.0013851958537848155,0.0008655821205197107,0.0007414439572389908,0.0010018851672623085
videoclip_search,0.0012773534424965782,0.0008078100974132003,0.0008961939558055672,0.0009333880663781239,0.000751900010981366,0.0009333291146149671
ads_click,0.0007707625939792205,0.0008923597135193699,0.0006483470714314823,0.0006851435822897826,0.0007160792089802651,0.0007425384340400241
technical_search,0.0006763737676220022,0.0006818508543873916,0.0007167171664542378,0.0008282588286678184,0.0006650860722181511,0.0007136573378699202
sidebar_count,0.0006641897121158744,0.0006588282986171373,0.0007186116095722023,0.0007153795690117874,0.0007932309814631192,0.0007100480341560242
marketing_search_gg,0.0005921683593587809,0.0006562737184709315,0.0006730708657759904,0.0008052620145780225,0.0006389798877258536,0.0006731509691819158
download_count,0.0006606795604187439,0.0005977705509506039,0.0006090313237164543,0.0005852088126369932,0.0005462936745822137,0.0005997967844610017
age_group_45-54,0.0006081728614557936,0.0005427717018788642,0.0004438171119749842,0.0005090438491295979,0.0004388036762240689,0.0005085218401326616
dating_search_gg,0.0004539350772105218,0.0005354074185344957,0.0004610114284151217,0.0005743748905980652,0.00047975450714275736,0.0005008966643801924
marketing_search,0.00034467579305500954,0.0003771595504676645,0.0003820774995419675,0.0003653299397394304,0.0003015157746295827,0.00035415171148673095
age_group_35-44,0.0002723247500806776,0.0002835165968475594,0.00032003797891330286,0.0003017877723718694,0.0002606630230960041,0.00028766602426188266
incognito_count,0.0001988265825773834,0.00036433689644497694,0.00030597507609308436,0.00032359550898407454,0.000164882362462568,0.0002715232853124175
age_group_under 14,0.0002886669978795409,0.0002513524523794626,0.00025456791205999294,0.0002344643664403043,0.0003129838730181089,0.00026840712035548195
dating_search,0.00021680422342409505,0.00029092021957474967,0.00032233187586964653,0.0002327888012459025,0.00018581247611061338,0.0002497315192450015
province_Hồ Chí Minh,0.00023744079856960194,0.00022332084495534622,0.0002501478445041118,0.0002338372884398387,0.0002417661205411889,0.00023730257940201752
age_group_15-17,0.00036369019891775413,0.00014724064081057293,0.00013976446046780187,0.00011698994290124152,0.00030636146927847253,0.00021480934247516864
region_Northern Vietnam,0.00010824670836144251,9.940682906369277e-05,0.0001017120358617691,0.00011722168294820158,0.00010687200468522354,0.00010669185218406591
age_group_55+,9.146649723343743e-05,8.33294372154988e-05,8.990214612926629e-05,6.881545183650735e-05,7.331835279422685e-05,8.136637704178734e-05
province_type_urban,6.233876400130673e-05,5.553755583777882e-05,5.51805379722688e-05,5.451986293847725e-05,5.692177253502949e-05,5.689969865697222e-05
region_Southern Vietnam,5.434327422096716e-05,5.533238263992018e-05,5.945503260605872e-05,5.5206686554020605e-05,5.697670030316617e-05,5.6262815264826566e-05
province_type_rural,4.5551300389119006e-05,3.722164837739023e-05,4.681539033144917e-05,3.785257617672708e-05,5.522908961767018e-05,4.453400097847113e-05
os_name_windows,5.1040712083075406e-05,4.5080238496839515e-05,3.987604511784967e-05,3.933880420045846e-05,3.095522883382675e-05,4.125820574640996e-05
region_None,4.75751429155766e-05,4.130592968859081e-05,3.747548516597389e-05,3.0513836316146714e-05,4.119817199171797e-05,3.961371321560119e-05
province_type_unknown,3.72945089789386e-05,3.9418001041602196e-05,3.2855921447083996e-05,3.86960836310728e-05,3.612843536764711e-05,3.687859009326894e-05
province_None,3.531729435998002e-05,3.063002231334087e-05,4.2124258823781565e-05,3.488662857566151e-05,3.644008855162413e-05,3.587965852487762e-05
os_name_macos,3.789517055082003e-05,3.756889034559787e-05,3.443139902958556e-05,2.5985594065959012e-05,2.838455903461731e-05,3.2853122605315954e-05
pip_count,3.451630892371017e-05,2.5328234086800395e-05,2.2454993227355835e-05,3.9143443265597196e-05,2.6754451417322215e-05,2.9639486184157158e-05
country_VN,2.532915105950186e-05,2.2418843118477714e-05,2.418744708565958e-05,2.9370786327314166e-05,2.4669705581881286e-05,2.5195186634566917e-05
country_UNKNOWN,2.179036773215417e-05,1.8895270854325877e-05,2.3945604383330135e-05,2.936778741950282e-05,2.330609673571942e-05,2.3461025425006482e-05
province_Thái Nguyên,2.1411923478862298e-05,1.9916947121314265e-05,1.5164105619583332e-05,1.8698581216145622e-05,2.1241907788165933e-05,1.928669304481429e-05
region_Central Vietnam,2.1503520724321373e-05,1.9613078346091974e-05,1.4919582810383122e-05,1.8874617551484673e-05,1.9539759210682142e-05,1.8890111728592656e-05
province_Đà Nẵng,1.588406910184324e-05,2.1000417571260696e-05,1.8520521218511706e-05,1.982468223772712e-05,1.7070430346795235e-05,1.84600240952276e-05
province_Hà Nội,1.4782435042698157e-05,1.8326675958274753e-05,1.3899124493539123e-05,1.612080842467455e-05,1.4716639183426322e-05,1.556913662052258e-05
province_Hải Phòng,9.720083256908571e-06,9.627407858993096e-06,1.7637785170259855e-05,9.899818167237156e-06,1.5472442138684402e-05,1.2471507318416615e-05
province_Tây Ninh,1.3462237072653217e-05,1.1480106603702464e-05,1.5001849230539544e-05,1.038305606408706e-05,1.1241857060698717e-05,1.23138212063362e-05
province_An Giang,1.0889718572815373e-05,1.2471359405783824e-05,1.061465503260172e-05,1.2186236946515797e-05,1.130180135138287e-05,1.1492754261819917e-05
province_Thái Bình,1.1759225362492284e-05,8.957969422104041e-06,1.0466943629422025e-05,1.19521788284281e-05,1.4026746495384729e-05,1.1432612747566237e-05
province_Phú Yên,1.0059806948008244e-05,1.287037879957985e-05,1.2123290503939828e-05,1.1469697669226447e-05,9.75420813207375e-06,1.1255476410565625e-05
province_Bắc Ninh,1.0536115600633878e-05,1.1647105181756409e-05,1.0487495490023494e-05,9.563139807214694e-06,1.1655467595336308e-05,1.0777864734992957e-05
province_Bình Dương,1.1749184745118862e-05,1.2506058807633132e-05,8.97542059341039e-06,9.614634986852814e-06,9.663439754852504e-06,1.050174777757354e-05
province_Khánh Hòa,9.539048857247037e-06,1.1892639690774544e-05,1.1426435663501208e-05,8.317552357532597e-06,7.972505473347321e-06,9.829636408480541e-06
province_Phú Thọ,9.91655692003106e-06,1.3108621783553026e-05,7.08899411233596e-06,8.980711389386091e-06,9.941821355927457e-06,9.807341112246718e-06
province_Tiền Giang,1.1173889515468393e-05,1.0409107077888897e-05,6.910475446924341e-06,8.731761112183378e-06,1.1107229609345137e-05,9.66649255236203e-06
province_Quảng Nam,8.822561826464947e-06,9.795698946259785e-06,9.26081942081653e-06,7.092832702437436e-06,1.2485442075079815e-05,9.491470994211703e-06
province_Bà Rịa - Vũng Tàu,1.001290453043877e-05,7.727399171498451e-06,8.667311102348157e-06,9.955902638848625e-06,9.864549604140203e-06,9.245613409454841e-06
province_Thanh Hóa,1.144912236845701e-05,8.687513376217552e-06,8.90333807018719e-06,7.550476020284565e-06,9.32413985956619e-06,9.182917938942501e-06
province_Ninh Bình,9.737125005921086e-06,1.0093188841333489e-05,7.78488733347159e-06,9.724355538032097e-06,7.807578863801424e-06,9.029427116511937e-06
province_Cần Thơ,1.0121228932276234e-05,8.247146686163161e-06,7.0002059193150246e-06,9.844600523922035e-06,9.015231301351008e-06,8.845682672605494e-06
province_Cà Mau,7.901187248786154e-06,7.667108001965806e-06,8.83150702372026e-06,7.000951766981305e-06,1.2461620041049122e-05,8.772474816500528e-06
province_Lâm Đồng,1.0129719628973342e-05,7.725468234327999e-06,7.654888688471804e-06,8.169389618321412e-06,9.390454127952919e-06,8.613984059609495e-06
province_Hà Nam,6.434726259590065e-06,9.514927152514248e-06,1.1771820220109937e-05,7.096085938572679e-06,8.164851969412213e-06,8.596482308039827e-06
province_Quảng Ngãi,8.676907906550302e-06,8.622145487140962e-06,7.540615358095208e-06,8.069054906576112e-06,9.819975094991107e-06,8.545739750670737e-06
province_Bình Thuận,1.0729228696833223e-05,9.057666825415818e-06,8.570059666835103e-06,8.41436930862921e-06,5.881058555645439e-06,8.530476610671758e-06
province_Đồng Nai,9.789201439577527e-06,8.730672575986037e-06,8.180890830562752e-06,6.847672193392755e-06,7.671174729649759e-06,8.243922353833764e-06
province_Nghệ An,7.475165833318348e-06,5.912869930660508e-06,1.0211155186766216e-05,1.0718060910748663e-05,6.885956264743481e-06,8.240641625247444e-06
province_Long An,8.997840406258372e-06,9.431195254078817e-06,7.0762291847759975e-06,8.582414776666928e-06,7.072649662168771e-06,8.232065856789777e-06
province_Bình Định,9.895446294371484e-06,6.50037699871354e-06,7.122358425575666e-06,9.16641575565503e-06,6.952488520746072e-06,7.927417199012357e-06
province_Bến Tre,5.334075708105405e-06,1.0166900036490943e-05,6.73592188144732e-06,8.968478066897097e-06,7.565852148155544e-06,7.754245568219262e-06
province_Bạc Liêu,7.675755355311216e-06,6.349192624337125e-06,9.137553281649089e-06,7.582760651688716e-06,8.002971042189307e-06,7.74964659103509e-06
province_Vĩnh Phúc,6.450011927042615e-06,7.576875516747121e-06,7.629669080738069e-06,8.920206515038746e-06,7.736954183900992e-06,7.662743444693508e-06
province_Hải Dương,6.944319099148036e-06,6.281824002320065e-06,7.758670816953756e-06,8.391079057082493e-06,8.035857185276295e-06,7.482350032156129e-06
province_Thừa Thiên Huế,5.373433611682169e-06,8.555019677075492e-06,8.366750003862125e-06,6.47030636511797e-06,7.990053850691142e-06,7.35111270168578e-06
province_Kiên Giang,7.581582262118007e-06,6.6814087841864495e-06,7.969605415668093e-06,6.034069264943736e-06,8.080052660235255e-06,7.269343677430308e-06
province_Bắc Giang,7.797875187415938e-06,5.779061576054807e-06,7.723895499768064e-06,6.734857188952169e-06,7.673558601896966e-06,7.14184961081759e-06
province_Trà Vinh,6.230315808692635e-06,6.192562337055879e-06,7.139334431986147e-06,8.709661946873211e-06,6.606395520578571e-06,6.975654009037288e-06
